team1_wins,team1_encoded,team2_encoded,team1_won_toss,toss_field,toss_decision_encoded,is_playoff,is_super_over,team1_win_rate,team2_win_rate,win_rate_diff,venue_match_count
Team1_Wins,1,14,1,0,0,0,0,0.582,0.488,0.094,48
Team2_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,49
Team2_Wins,10,3,0,1,1,0,0,0.267,0.46,-0.193,17
Team1_Wins,7,12,1,1,1,0,0,0.522,0.511,0.011,77
Team1_Wins,6,1,1,1,1,0,0,0.429,0.582,-0.153,5
Team2_Wins,3,2,0,0,0,0,0,0.46,0.387,0.073,59
Team1_Wins,9,10,0,0,0,0,0,0.552,0.267,0.285,73
Team2_Wins,7,6,1,1,1,0,0,0.522,0.429,0.093,77
Team1_Wins,11,12,0,1,1,0,0,0.455,0.511,-0.056,35
Team1_Wins,9,1,0,1,1,0,0,0.552,0.582,-0.03,73
Team2_Wins,7,14,0,1,1,0,0,0.522,0.488,0.034,77
Team1_Wins,3,11,0,1,1,0,0,0.46,0.455,0.005,59
Team2_Wins,2,9,1,1,1,0,0,0.387,0.552,-0.165,49
Team1_Wins,12,6,1,1,1,0,0,0.511,0.429,0.082,47
Team1_Wins,1,10,0,1,1,0,0,0.582,0.267,0.315,48
Team2_Wins,3,14,0,1,1,0,0,0.46,0.488,-0.028,59
Team2_Wins,10,1,1,0,0,0,0,0.267,0.582,-0.315,17
Team2_Wins,6,2,1,1,1,0,0,0.429,0.387,0.042,5
Team2_Wins,3,7,1,1,1,0,0,0.46,0.522,-0.062,59
Team1_Wins,12,9,1,1,1,0,0,0.511,0.552,-0.041,47
Team1_Wins,14,10,0,1,1,0,0,0.488,0.267,0.221,63
Team2_Wins,6,3,0,0,0,0,0,0.429,0.46,-0.031,5
Team1_Wins,7,11,1,1,1,0,0,0.522,0.455,0.067,77
Team1_Wins,12,10,1,1,1,0,0,0.511,0.267,0.244,47
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,48
Team1_Wins,9,11,0,1,1,0,0,0.552,0.455,0.097,73
Team2_Wins,3,6,0,1,1,0,0,0.46,0.429,0.031,59
Team2_Wins,2,7,1,1,1,0,0,0.387,0.522,-0.135,49
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team2_Wins,10,9,1,1,1,0,0,0.267,0.552,-0.285,17
Team1_Wins,6,7,0,1,1,0,0,0.429,0.522,-0.093,5
Team2_Wins,2,3,0,1,1,0,0,0.387,0.46,-0.073,49
Team1_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team1_Wins,7,1,0,0,0,0,0,0.522,0.582,-0.06,77
Team1_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,73
Team1_Wins,14,6,0,0,0,0,0,0.488,0.429,0.059,63
Team2_Wins,11,10,1,0,0,0,0,0.455,0.267,0.188,35
Team2_Wins,12,1,1,1,1,0,0,0.511,0.582,-0.071,47
Team2_Wins,2,10,1,0,0,0,0,0.387,0.267,0.12,49
Team1_Wins,11,9,0,1,1,0,0,0.455,0.552,-0.097,35
Team2_Wins,12,14,0,1,1,0,0,0.511,0.488,0.023,47
Team1_Wins,1,3,1,0,0,0,0,0.582,0.46,0.122,48
Team2_Wins,6,11,0,1,1,0,0,0.429,0.455,-0.026,9
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team2_Wins,9,2,0,0,0,0,0,0.552,0.387,0.165,73
Team1_Wins,11,3,0,1,1,0,0,0.455,0.46,-0.005,9
Team1_Wins,6,12,1,1,1,0,0,0.429,0.511,-0.082,9
Team2_Wins,10,2,0,1,1,0,0,0.267,0.387,-0.12,17
Team1_Wins,11,14,1,0,0,0,0,0.455,0.488,-0.033,9
Team1_Wins,1,6,1,0,0,0,0,0.582,0.429,0.153,48
Team2_Wins,10,7,0,1,1,0,0,0.267,0.522,-0.255,17
Team2_Wins,9,12,1,0,0,0,0,0.552,0.511,0.041,73
Team2_Wins,11,2,1,1,1,0,0,0.455,0.387,0.068,9
Team1_Wins,14,1,1,1,1,0,0,0.488,0.582,-0.094,63
Team2_Wins,7,9,0,1,1,0,0,0.522,0.552,-0.03,77
Team2_Wins,14,1,0,1,1,1,0,0.488,0.582,-0.094,73
Team1_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team1_Wins,14,9,0,1,1,1,0,0.488,0.552,-0.064,48
Team1_Wins,1,14,1,0,0,1,0,0.582,0.488,0.094,48
Team2_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,48
Team2_Wins,7,3,0,1,1,0,0,0.522,0.46,0.062,77
Team2_Wins,9,10,1,1,1,0,0,0.552,0.267,0.285,73
Team1_Wins,12,11,0,1,1,0,0,0.511,0.455,0.056,47
Team1_Wins,14,3,0,1,1,0,0,0.488,0.46,0.028,63
Team2_Wins,2,1,1,1,1,0,0,0.387,0.582,-0.195,13
Team1_Wins,12,7,0,1,1,0,0,0.511,0.522,-0.011,47
Team1_Wins,10,11,1,0,0,0,0,0.267,0.455,-0.188,16
Team2_Wins,2,9,1,0,0,0,0,0.387,0.552,-0.165,13
Team2_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team1_Wins,3,1,1,1,1,0,0,0.46,0.582,-0.122,59
Team1_Wins,9,12,0,1,1,0,0,0.552,0.511,0.041,73
Team1_Wins,1,14,0,0,0,0,0,0.582,0.488,0.094,48
Team1_Wins,11,10,1,1,1,0,0,0.455,0.267,0.188,35
Team1_Wins,7,12,0,0,0,0,0,0.522,0.511,0.011,77
Team1_Wins,10,1,0,0,0,0,0,0.267,0.582,-0.315,16
Team2_Wins,7,11,1,1,1,0,0,0.522,0.455,0.067,77
Team2_Wins,14,12,0,0,0,0,0,0.488,0.511,-0.023,63
Team2_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,73
Team1_Wins,12,2,0,0,0,0,0,0.511,0.387,0.124,47
Team1_Wins,14,10,0,0,0,0,0,0.488,0.267,0.221,63
Team2_Wins,11,7,1,0,0,0,0,0.455,0.522,-0.067,35
